Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
WYBU Drop-Earring Jewellery Bijouterie Circle Druzy Trangle Geometric Express Gothic,0.64,1.55,2554,4.7,0,WYBU Official Store,https://www.aliexpress.com/item/4000842363663.html
Studs Earrings Jewelry Punk G-Dragon Cross-Drop Party GD Fashion Women Dangle-Ear Metal,0.51,0.59,1602,4.6,0,Yankun Store,https://www.aliexpress.com/item/32838100255.html
Jump-Rings Connectors Making-Accessories Jewelry Finding Wholesale-Supplies Diy for 4,0.52,2.85,6863,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/32864732463.html
Round-Covers Spacer-Beads Findings-Supplies Jewelry-Making Dia DIY Crimp-End Copper 3,11.66,11.66,2570,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/32979613616.html
Studs Base-Pins Findings Earring-Plug Blank Jewelry-Making Ear-Back Stainless-Steel DIY,1.15,2.2,3156,4.9,0,St.kunkka Official Store,https://www.aliexpress.com/item/33040453926.html
Cameo-Settings Earring Supplies Stud-Base Jewelry-Making-Accessories Blank Cabochon Stainless-Steel,0.84,1.75,1104,4.9,0,Cabochon Store,https://www.aliexpress.com/item/4000002041212.html
Stainless Studs Base-Fit Iron-Earring Glass Cabochons Ear-Plug 8-20mm 8-Colors-Plated,1.33,2.86,1626,4.9,0,Cabochon Store,https://www.aliexpress.com/item/32801799850.html
Jewelry Findings Jump-Rings Metal Diy Single-Loops for 200pcs/Lot Open 3/4/5-/..,0.56,1.71,5079,4.9,0,Cabochon Store,https://www.aliexpress.com/item/32866576107.html
Earring Cap Jewelry-Accessories Back-Plug DIY Plastic Anti-Allergic And 400pcs Anti-Inflammatory,0.84,0.84,1781,4.9,0,Cabochon Store,https://www.aliexpress.com/item/32819710986.html
Crystal-Line Rope-Cord Beading-Bracelet Wire Jewelry-Making U-Pick Fishing-Thread Flexible Elastic,1.06,1.59,489,4.8,0,XW666 Store,https://www.aliexpress.com/item/32898884068.html
Women's Earrings Set Tassel Pearl Earrings For Women Bohemian Fashion Jewelry 2020 Geometric,1.07,1.56,19728,4.8,0,Fitable Trendy Store,https://www.aliexpress.com/item/4000556769137.html
Silicone Mold Pendant Mirror-Craft Necklace Decorative-Cake Jewelry Making Liquid Resin,0.35,0.42,1780,4.7,0.57,Clothes-Glass World Store,https://www.aliexpress.com/item/32986763026.html
