Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Women's Flats Shoes Breathable Mesh Sneakers Girls Knitted Flying Woven Sock Shoes 936,14.39,14.39,1,0,0,PEGGY PIGGY Store,https://www.aliexpress.com/item/4000984973441.html
Sneaker Running-Shoes Breathable 350V2 Sport And Static Luminous Men Women,42.9,48.95,7,0,0,Shop5887067 Store,https://www.aliexpress.com/item/4001133081375.html
Men Sandals Sneakers Couples Beach-Slippers Summer Shoes Colorful Breathable Zapatos,7.19,9.99,356,4.7,0,Shop3989038 Store,https://www.aliexpress.com/item/32965715935.html
Sneakers Sports-Shoes Air-Cushion Outdoor Breathable Women Mesh Comfort Lace-Up Lightweight,8.68,15.79,650,4.8,0,KAMUCC Store,https://www.aliexpress.com/item/4000473710809.html
Men Shoes Sneakers Tenis Lace-Up Lightweight Breathable Zapatos-Size Feminino 39-47,7.68,12.83,24,0,0,Taking Care Of You Store,https://www.aliexpress.com/item/4001097551365.html
AODLEE Men Sandals Flip-Flops Casual-Shoes Zapatos-De-Hombre Gladiator Sport-Water Beach,9.99,12.99,387,4.7,0,AODLEE Official Store,https://www.aliexpress.com/item/4000341572220.html
Driving Shoes Men Loafers Moccasins Men Unisex Brand-New Fashion High-Quality Footwear,6.48,10.8,45,4.8,0,Shop5721018 Store,https://www.aliexpress.com/item/4000835472877.html
Women Sneakers Tenis Walking-Shoes Outdoor Footwear,9.78,15.98,665,4.8,0,KAMUCC Store,https://www.aliexpress.com/item/4000117725264.html
Men's shoes lace up Casual Sneakers mesh breathable comfortable lightweight shoes men Hot Sale outdoor walking runing shoes,14.25,16.15,6,5,3.74,Shop5726082 Store,https://www.aliexpress.com/item/4001006104323.html
Shoes Women Chaussures Sneakers Vulcanized-Shoes Light-Platform Tenis Feminino Leisure,7.23,7.23,85,4,1.05,Shop5621057 Store,https://www.aliexpress.com/item/10000168221470.html
Platform Shoes Increasing-Shoes Height-Sneakers High-Heels Black Casual Breathable Lady,8.63,8.63,479,4.6,0,Shop4825015 Store,https://www.aliexpress.com/item/4000197103178.html
Mesh-Shoes Footwear Female Sneakers Women Vulcanized Casual Woman Ladies Shallow Breathable,8.77,10.68,100,5,0.64,Her Drop Shipping Store,https://www.aliexpress.com/item/4000833755046.html
Platform Shoes Sneakers Basket Trainers Lace-Up Femme Unisex Breathable Mujer Air-Mesh,1419.6,1419.6,143,4.8,0,LIANNAO NEW1026 Store,https://www.aliexpress.com/item/4000844474991.html
Running-Shoes Cushioning Platform Athletic Woman Sneakers Increasing Color-Sole Footwear,10.83,13.79,51,5,0,lemons Store,https://www.aliexpress.com/item/4000977487095.html
Sandals PUMPS Rivet Single-Shoes Shallow-Mouth High-Heel Pointed Fashion Women's Summer,15.9,17.59,219,4.6,0,QUNSHENGRUI Official Store,https://www.aliexpress.com/item/4000148230578.html
BODENSEE White Sneakers Vulcanize-Shoes Women Canvas Casual Fashion Summer Mujer 35-42,9.53,11.12,789,4.6,3.09,ss-bod factory Store,https://www.aliexpress.com/item/32931505193.html
Daveshoes New Style Men Running Shoes Ourdoor Jogging Trekking Sneakers Lace Up Athletic Shoes Comfortable Light Soft Free,24,24,0,0,0,daveshoes Official Store,https://www.aliexpress.com/item/4000816666423.html
Mens Boots Shoes Wear-Resistant Outdoor Casual Velvet Plus Ankle L2,15.78,23.76,5,0,5.84,All About Bags(Offer Dropshipping) Store,https://www.aliexpress.com/item/4000613445815.html
Canvas Sneakers Shoe Meddle-Heel Pointed-Toe Autumn Breathable Casual Summer Women Air-Mesh,7.19,10.55,67,5,0,brc1978 Store,https://www.aliexpress.com/item/4001065015668.html
Woman Pumps High-Heeled-Shoes Party-Shoes Platform Suede Wedding Black Fashion New Hot,13.68,13.68,105,4.3,0.29,Shop3909012 Store,https://www.aliexpress.com/item/32872269904.html
Rommedal crocodile skin loafer shoes men genuine leather slip-on moccasins handmade man casual shoes drive walk luxury leisure,22.63,24.57,453,4.6,0,Rommedal Store,https://www.aliexpress.com/item/33046047433.html
Female Shoes Sneaker Tenis Platform Trainers Women Feminino Casual Black Red,910.16,910.16,94,4.6,7.58,Integrity factory. Store,https://www.aliexpress.com/item/4000349381689.html
Moipheng Basket Sneakers Breathable Shoes Light-Lover Black Fashion Walk 46 Flats Plus-Size,12.84,16.98,72,5,0,Moipheng Official Store,https://www.aliexpress.com/item/4000922760319.html
Loafers Moccasins Shoes Male Hot-Sale Casual High-Quality Driving Lightweight New Footwear,8.64,13.93,3,4,0,Shop5721018 Store,https://www.aliexpress.com/item/4000806332983.html
Work-Shoes Sneakers Steel-Toe-Cap Safety Indestructible Puncture-Proof-Boots Breathable,12.36,19.08,10,0,0,FanWengHang Shoe Store,https://www.aliexpress.com/item/4001051369934.html
Men Slippers Sandals Shoes Flip-Flops Outdoor Casual Beach Summer Male Hollow Stripe,2.52,2.52,113,4.6,1.01,Left Hand Side Store,https://www.aliexpress.com/item/4000620664144.html
Women Shoes Sneakers Tenis Sport-Basket Super-Light Feminino Walking Femme Casual,7.16,10.76,583,4.7,0,Old friend Store,https://www.aliexpress.com/item/33038190881.html
Men's Shoes Soft Massage Slippers Men Plus Size Fashion Summer Men Flip Flops Outdoor,2.74,2.74,19,0,10.38,ClearanceSale Store,https://www.aliexpress.com/item/4001096804939.html
Spring Tassel Mens Loafers Casual Leather Shoes Business Brogue Men Dress Shoes Driving Flats Breathable Wedding Shoes Big Size,18.5,20.37,119,4.9,0,ariari TrendyShoes Store,https://www.aliexpress.com/item/4000122101248.html
Sandals Flip-Flops Beach-Slippers Beckham Men's Shoes Drag Same Summer Women Couple,10.05,11.05,299,4.5,0,Shop4921035 Store,https://www.aliexpress.com/item/33039634791.html
Women Shoes Sneakers Vulcanized-Shoes Mesh-Light Casual Fashion Mujer Zapatillas Breathble,12.3,12.3,163,5,0,VRLVCY Superstart Store,https://www.aliexpress.com/item/4000909827486.html
Men's Shoes Casual Handmade Big-Size High-Quality New for Male Flats 35-46,22.8,22.8,36,4.7,0,Haoliang Store,https://www.aliexpress.com/item/4000777990791.html
Sock Shoes Sneakers Chaussures Slip-On High-Top Zapatillas-Mujer Breathable Femme Unisex,11.55,19.8,33,5,0,Shop5133090 Store,https://www.aliexpress.com/item/4001101071454.html
EAGSITY Shoes Wedges Beige Office Black Ladies Dress Comfortable Fashion Women Work Career,9.58,11.86,32,4.8,1.58,showfashion Store,https://www.aliexpress.com/item/32951760286.html
Woman Shoes Slippers Sandals Mules Square-Toe Ladies Heel High-Heels Sexy Female Summer,14.5,17.5,403,4.9,0,Brand For Your Life,https://www.aliexpress.com/item/4000743557958.html
Bedroom Shoes Slippers Indoorsanti-Slip Plush Zapatos-De-Hombre Home Winter Warm Warm,2.48,2.92,57,4,1.05,Megibaby Store,https://www.aliexpress.com/item/4000226870442.html
Men Sneaker 2020 Fashion Sport Shoes Sock shoes Summer Casual Shoes,35.99,35.99,0,0,0,MODYF Official Store,https://www.aliexpress.com/item/4001122465304.html
Shoes Woman Pumps Platform-Dress Ankle-Strap Wedding Suede High-Heels Plus-Size Cross-Tied,19.72,23.98,678,4.6,4.16,CHUQING Store,https://www.aliexpress.com/item/4000499366264.html
